"p","y","t","fip_title","c","q","res"
"F2","2019","F2","ACTRIS-GRES_FIP_2019","ACTRIS_GRES","F2","datacite_metadata_scheme"
"F2","2019","F2","ACTRIS-InSitu_FIP_2019","ACTRIS_InSitu","F2","wmo-core-profile"
"F2","2020","F2","ACTRIS-InSitu_FIP_2020","ACTRIS_InSitu","F2","wmo-core-profile"
"F2","2021","F2","ACTRIS-InSitu_FIP_2021","ACTRIS_InSitu","F2","wmo-core-profile"
"F2","2022","F2","ACTRIS-ASC_FIP_2022","AERIS","F2","ISO_19115"
"F2","2022","F2","ACTRIS-ASC_FIP_2022","AERIS","F2","datacite_metadata_scheme"
"F2","2019","F2","AnaEE_CREA_FIP_2019","AnaEE_CREA","F2","DCAT3"
"F2","2020","F2","AnaEE_CREA_FIP_2020","AnaEE_CREA","F2","DCAT3"
"F2","2021","F2","AnaEE_CREA_FIP_2021","AnaEE_CREA","F2","DCAT3"
"F2","2019","F2","AnaEE_FIP_2019","Anaee","F2","ISO_19115"
"F2","2020","F2","AnaEE_FIP_2020","Anaee","F2","ISO_19115"
"F2","2021","F2","AnaEE_FIP_2021","Anaee","F2","ISO_19115"
"F2","2021","F2","AnaEE_FIP_2021","Anaee","F2","DCAT-AP"
"F2","2020","F2","AnaEE_FIP_2020","Anaee","F2","CKAN"
"F2","2021","F2","AnaEE_FIP_2021","Anaee","F2","CKAN"
"F2","2021","F2","AnaEE_FIP_2021","Anaee","F2","EML_GBIF_Profile"
"F2","2020","F2","AnaEE_FIP_2020","Anaee","F2","DCAT-AP"
"F2","2019","F2","Euro-Argo_FIP_2019","ArgoGdacFairImplementationCommunityPublication","F2","NetCDF_CF1.7"
"F2","2020","F2","EuroArgo_FIP_2020","ArgoGdacFairImplementationCommunityPublication","F2","NetCDF_CF1.7"
"F2","2021","F2","Euro-Argo_FIP_2021","ArgoGdacFairImplementationCommunityPublication","F2","NetCDF_CF1.7"
"F2","2019","F2","Euro-Argo_FIP_2019","ArgoGdacFairImplementationCommunityPublication","F2","schema.org-dataset"
"F2","2021","F2","Euro-Argo_FIP_2021","ArgoGdacFairImplementationCommunityPublication","F2","schema.org-dataset"
"F2","2021","F2","DANUBIUS_FIP_2021","DANUBIUS","F2","DCAT2"
"F2","2021","F2","DANUBIUS_FIP_2021","DANUBIUS","F2","ISO_19115"
"F2","2021","F2","DANUBIUS_FIP_2021","DANUBIUS","F2","NetCDF_CF1.7"
"F2","2020","F2","DiSSCo_FIP_2020","DiSSCo","F2","schema.org-dataset"
"F2","2021","F2","DiSSCo_FIP_2021","DiSSCo","F2","schema.org-dataset"
"F2","2020","F2","DiSSCo_FIP_2020","DiSSCo","F2","openDS"
"F2","2021","F2","DiSSCo_FIP_2021","DiSSCo","F2","openDS"
"F2","2021","F2","EISCAT_FIP_2021","EISCAT","F2","datacite_metadata_scheme"
"F2","2019","F2","EISCAT_FIP_2019","EISCAT","F2","datacite_metadata_scheme"
"F2","2020","F2","EISCAT_FIP_2020","EISCAT","F2","datacite_metadata_scheme"
"F2","2022","F2","EMSO ERIC FIP 2022","EMSO","F2","OceanSites"
"F2","2021","F2","EMSO ERIC FIP 2021","EMSO","F2","OceanSites"
"F2","2021","F2","EPOS_ICS-C_FIP_2021","EPOS-ERIC","F2","EPOS-DCAT-AP"
"F2","2022","F2","ICOS_FIP_2022","ICOS","F2","datacite_metadata_scheme"
"F2","2022","F2","ICOS_FIP_2022","ICOS","F2","schema.org-dataset"
"F2","2022","F2","ICOS_FIP_2022","ICOS","F2","DCAT-AP"
"F2","2019","F2","ICOS_FIP_2019","ICOS","F2","GeoDCAT-AP"
"F2","2019","F2","ICOS_FIP_2019","ICOS","F2","ISO_19139"
"F2","2019","F2","ICOS_FIP_2019","ICOS","F2","ISO_19115"
"F2","2019","F2","ICOS_FIP_2019","ICOS","F2","datacite_metadata_scheme"
"F2","2021","F2","ICOS_FIP_2021","ICOS","F2","datacite_metadata_scheme"
"F2","2020","F2","ICOS_FIP_2020","ICOS","F2","datacite_metadata_scheme"
"F2","2021","F2","ICOS_FIP_2021","ICOS","F2","schema.org-dataset"
"F2","2021","F2","ICOS_FIP_2021","ICOS","F2","DCAT-AP"
"F2","2020","F2","ICOS_FIP_2020","ICOS","F2","schema.org-dataset"
"F2","2020","F2","ICOS_FIP_2020","ICOS","F2","DCAT-AP"
"F2","2022","F2","LifeWatch_Ecosystems_FIP_2022","LWERIC_Ecosystem","F2","EML2.2.0"
"F2","2022","F2","LifeWatch_Ecosystems_FIP_2022","LWERIC_Ecosystem","F2","ISO_19139"
"F2","2020","F2","LifeWatch_Ecosystems_FIP_2020","LWERIC_Ecosystem","F2","EML2.2.0"
"F2","2020","F2","LifeWatch_Ecosystems_FIP_2020","LWERIC_Ecosystem","F2","ISO_19139"
"F2","2021","F2","LifeWatch_Ecosystems_FIP_2021","LWERIC_Ecosystem","F2","EML2.2.0"
"F2","2021","F2","LifeWatch_Ecosystems_FIP_2021","LWERIC_Ecosystem","F2","ISO_19139"
"F2","2019","F2","LifeWatch_Ecosystems_FIP_2019","LWERIC_Ecosystem","F2","EML"
"F2","2019","F2","LifeWatch_Ecosystems_FIP_2019","LWERIC_Ecosystem","F2","ISO_19139"
"F2","2019","F2","SeaDataNET_CDI_FIP_2019","SeaDataNet-CDI","F2","SDN2_CDI_ISO19139"
"F2","2020","F2","SeaDatNET_CDI_FIP_2020","SeaDataNet-CDI","F2","SDN2_CDI_ISO19139"
"F2","2021","F2","SeaDataNET_CDI_FIP_2021","SeaDataNet-CDI","F2","ISO_19115"
"F2","2021","F2","SeaDataNET_CDI_FIP_2021","SeaDataNet-CDI","F2","SDN2_CDI_ISO19139"
